Date,Close,Open,High,Low,Vol.,Change %
"Apr 16, 2013",7718,"7,724.15","7,758.09","7,652.40",48.00M,-0.48%
"Apr 17, 2013",7534,"7,747.34","7,754.07","7,516.55",60.31M,-2.38%
"Apr 18, 2013",7579,"7,511.28","7,614.32","7,482.92",60.20M,0.60%
"Apr 19, 2013",7619,"7,610.22","7,645.53","7,573.14",53.89M,0.52%
"Apr 22, 2013",7609,"7,666.06","7,680.59","7,602.10",55.93M,-0.13%
"Apr 23, 2013",7802,"7,646.77","7,806.19","7,645.90",63.12M,2.54%
"Apr 24, 2013",7860,"7,823.88","7,865.33","7,810.69",51.63M,0.73%
"Apr 25, 2013",7901,"7,859.67","7,916.06","7,807.67",46.49M,0.53%
"Apr 26, 2013",7856,"7,875.34","7,882.25","7,841.36",32.57M,-0.57%
"Apr 29, 2013",7902,"7,870.61","7,922.90","7,868.57",31.22M,0.58%
"Apr 30, 2013",7906,"7,943.81","7,955.39","7,874.15",79.21M,0.06%
"May 02, 2013",7902,"7,867.73","7,902.95","7,850.86",47.25M,-0.05%
"May 03, 2013",7938,"7,904.34","7,967.78","7,871.84",39.84M,0.45%
"May 06, 2013",7927,"7,926.01","7,943.27","7,907.19",20.07M,-0.13%
"May 07, 2013",7978,"7,941.10","8,002.17","7,933.23",39.26M,0.63%
"May 08, 2013",8093,"7,986.28","8,102.84","7,983.92",48.87M,1.45%
"May 10, 2013",8178,"8,109.52","8,181.52","8,105.08",51.71M,1.05%
"May 13, 2013",8148,"8,175.30","8,181.26","8,108.23",42.94M,-0.37%
"May 14, 2013",8188,"8,171.70","8,193.13","8,125.79",38.80M,0.49%
